RegCode,RegionNames,Year,Dengue_Cases,Dengue_Deaths,Sanitation_HH_Total,Sanitation_HH_Total_Improved,Sanitation_Improved_Total_Values,Sanitation_Improved_Percent,Sanitation_Basic,Sanitation_Limited,Sanitation_Unimproved,Sanitation_OpenDefecation,WaterSupply_HH_Total,WaterSupply_HH_Total_Values,WaterSupply_HH_Total_Improved,WaterSupply_Improved_Percent_Service,WaterSupply_Basic,WaterSupply_Limited,WaterSupply_Unimproved,WaterSupply_SurfaceWater
NCR,National Capital Region,2019,40769,313,3385,3206,3206000,94.7,79.8,14.9,4.9,0,3385,3385000,3381,99.9,98.4,1.5,,
CAR,Cordillera Administrative Region,2019,12222,28,431,408,408000,94.6,86.2,8.5,4.5,0.9,431,431000,413,95.9,88.7,7.2,3.9,
I,Ilocos Region,2019,19288,86,1232,1207,1207000,98,82.9,15.1,0,0,1232,1232000,1170,95,95,,,
II,Cagayan Valley,2019,16450,116,868,852,852000,98.1,90.2,7.9,0,0,868,868000,848,97.7,96.4,0,2.3,
III,Central Luzon,2019,37143,166,2853,2770,2770000,97.1,88.2,8.9,1.1,1.8,2853,2853000,2819,98.8,97,1.8,1.2,
IV-A,CALABARZON,2019,77034,429,3876,3764,3764000,97.1,88.7,8.4,1.7,1.3,3876,3876000,3787,97.7,93.7,4,2.3,
MIMAROPA,MIMAROPA Region,2019,10621,60,754,694,694000,92,82.9,9.1,1.7,6.4,754,754000,689,91.3,87.3,4,7.7,
V,Bicol Region,2019,11297,149,1300,1104,1104000,84.9,74.2,10.7,3.6,11.5,1300,1300000,1203,92.6,87,5.5,7.4,
VI,Western Visayas,2019,58403,240,1870,1664,1664000,89,83.3,5.7,2.2,8.8,1870,1870000,1704,91.1,88.7,2.4,8.7,
VII,Central Visayas,2019,31708,231,1883,1721,1721000,91.4,81.4,10,3.4,5.2,1883,1883000,1774,94.2,91.2,3,5.8,
VIII,Eastern Visayas,2019,26157,85,1083,964,964000,89,77.3,11.7,2.1,8.9,1083,1083000,1044,96.4,93,3.4,3.5,
IX,Zamboanga Peninsula,2019,24540,177,851,766,766000,90,83.9,6.1,4.5,5.5,851,851000,789,92.8,84.3,8.4,7,
X,Northern Mindanao,2019,28223,188,1144,1075,1075000,94,80.7,13.3,3.2,2.8,1144,1144000,1075,94,92.2,1.8,5.9,
XI,Davao Region,2019,8369,139,1320,1247,1247000,94.5,79.2,15.3,3.5,2,1320,1320000,1281,97.1,93,4.1,2.9,
XII,SOCCSKSARGEN,2019,19603,139,1156,1072,1072000,92.7,74.2,18.3,4.9,2.4,1156,1156000,1099,95.1,90.2,4.9,4.5,
XIII,Caraga,2019,8892,63,634,597,597000,94.1,84.9,9.2,2.3,3.6,634,634000,596,93.9,91,2.9,6.1,
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2019,6370,11,670,306,306000,45.6,32.7,12.9,38.2,16.1,670,670000,552,82.4,74.6,7.8,15.8,1.7
NCR,National Capital Region,2020,7338,97,3449,3392,3392000,98.4,79,19.4,1.5,0,3449,3449000,3449,100,99.4,0.6,,
CAR,Cordillera Administrative Region,2020,3729,10,439,428,428000,97.4,86.8,10.6,1.7,0.9,439,439000,424,96.5,90.5,6.1,3.4,
I,Ilocos Region,2020,7323,60,1252,1239,1239000,99,83,16,0,0,1252,1252000,1244,99.4,98.4,,,
II,Cagayan Valley,2020,1340,23,883,863,863000,97.7,87.5,10.3,0,0,883,883000,856,96.9,95.5,,2.9,
III,Central Luzon,2020,16340,139,2923,2870,2870000,98.2,87.2,11.1,1,0.8,2923,2923000,2908,99.5,97.4,2.1,,
IV-A,CALABARZON,2020,8679,106,3970,3904,3904000,98.3,87.4,10.9,1,0,3970,3970000,3906,98.4,97,1.4,1.6,
MIMAROPA,MIMAROPA Region,2020,5117,33,770,708,708000,92,81,11,3.1,5,770,770000,747,96.9,94.5,2.5,2.7,
V,Bicol Region,2020,1565,35,1319,1161,1161000,88,76,12.1,3.5,8.4,1319,1319000,1234,93.5,89.1,4.4,6.2,
VI,Western Visayas,2020,4087,44,1907,1657,1657000,86.9,80.4,6.5,2.1,11.1,1907,1907000,1797,94.2,91.1,3.1,5.8,
VII,Central Visayas,2020,11165,100,1927,1737,1737000,90.1,75.6,14.6,2,7.9,1927,1927000,1798,93.3,88.8,4.5,6.6,
VIII,Eastern Visayas,2020,4697,37,1108,1032,1032000,93.1,82,11,1.3,5.6,1108,1108000,1067,96.3,90.9,5.4,3.7,
IX,Zamboanga Peninsula,2020,2506,28,863,789,789000,91.4,79.8,11.7,2.9,5.7,863,863000,776,89.9,86,3.9,10.1,
X,Northern Mindanao,2020,6109,75,1168,1093,1093000,93.6,82.5,11.2,5.2,1.2,1168,1168000,1149,98.4,94.3,4.2,1.6,
XI,Davao Region,2020,1972,51,1356,1298,1298000,95.7,72,23.7,3.3,1,1356,1356000,1312,96.7,94,2.7,3.2,
XII,SOCCSKSARGEN,2020,4432,56,1181,1094,1094000,92.6,72.5,20.1,4.8,2.6,1181,1181000,1140,96.5,92.3,4.2,3.4,
XIII,Caraga,2020,996,25,649,618,618000,95.2,87.1,8.1,2.1,2.7,649,649000,618,95.3,91.7,3.6,4.6,
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2020,1200,7,683,382,382000,55.9,39.3,16.7,24.4,19.6,683,683000,558,81.7,73.3,8.3,15.2,3.2
NCR,National Capital Region,2021,10368,126,3512,3447,3447000,98.2,86.7,11.2,0.3,0.7,3512,3512000,3475,99,99,0,0,0
CAR,Cordillera Administrative Region,2021,652,37,447,437,437000,97.6,86.3,11.1,1.4,0.8,447,447000,422,94.4,93.8,0.6,5.2,0.1
I,Ilocos Region,2021,8546,96,1270,1262,1262000,99.3,86.4,12.6,0.2,0.4,1270,1270000,1259,99.1,98.8,0.3,0.4,0.1
II,Cagayan Valley,2021,1490,21,898,879,879000,97.9,86.6,10.7,0.6,0.9,898,898000,881,98.1,97.9,0.2,1.4,0.1
III,Central Luzon,2021,20692,171,2991,2958,2958000,98.9,92,6.5,0.2,0.7,2991,2991000,2971,99.3,99.3,0.1,0.2,0.1
IV-A,CALABARZON,2021,8926,159,4082,4030,4030000,98.7,91.8,6.6,0.1,1,4082,4082000,4011,98.3,98.1,0.2,0.8,0
MIMAROPA,MIMAROPA Region,2021,1502,31,787,723,723000,91.9,80.1,10.8,0.9,6.2,787,787000,737,93.7,92.8,0.8,5.3,0.3
V,Bicol Region,2021,798,41,1338,1246,1246000,93.1,84.6,7.4,0.3,5.7,1338,1338000,1262,94.3,93.7,0.6,4.6,0.2
VI,Western Visayas,2021,2467,45,1945,1819,1819000,93.5,86.3,6.7,0.3,5.7,1945,1945000,1853,95.3,94.8,0.5,4.3,0.1
VII,Central Visayas,2021,2604,65,1970,1830,1830000,92.9,78.9,12.7,0.3,6,1970,1970000,1866,94.7,93.8,0.9,4.6,0.3
VIII,Eastern Visayas,2021,889,21,1134,1059,1059000,93.5,83.8,7.7,0.4,5.5,1134,1134000,1083,95.5,95.1,0.4,3.1,0.4
IX,Zamboanga Peninsula,2021,1274,40,874,790,790000,90.4,82.5,7.2,2.9,5.3,874,874000,823,94.1,93,1.1,5.6,0.1
X,Northern Mindanao,2021,4921,72,1191,1149,1149000,96.5,83.7,11.7,0.5,2.5,1191,1191000,1154,97,96.6,0.3,2.7,0.1
XI,Davao Region,2021,4931,79,1393,1362,1362000,97.8,80.3,16.4,0.3,1.6,1393,1393000,1340,96.2,95.7,0.5,3.1,0.2
XII,SOCCSKSARGEN,2021,3636,86,1206,1135,1135000,94.1,78.3,14.9,0.8,4.2,1206,1206000,1165,96.7,96,0.7,2.7,0.2
XIII,Caraga,2021,5180,16,664,646,646000,97.3,89.6,7,0.4,1.8,664,664000,629,94.7,94.2,0.5,4.8,0.1
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2021,716,13,696,456,456000,65.6,48.2,16.3,17.8,15.2,696,696000,599,86.1,79.3,6.8,9.4,3.3
NCR,National Capital Region,2022,26425,63,3574,3475,3475000,97.2,82.9,14.4,2.7,0,3574,3574000,3569,99.9,99.3,0.6,,
CAR,Cordillera Administrative Region,2022,4791,22,456,437,437000,96,87.4,8.6,3.2,0.8,456,456000,434,95.3,94,1.3,4.5,
I,Ilocos Region,2022,5993,10,1289,1271,1271000,98.7,84.7,14,0,0,1289,1289000,1277,99.1,99.1,,,
II,Cagayan Valley,2022,18575,52,912,896,896000,98.3,89.8,8.5,0,0,912,912000,905,99.2,99.1,,,
III,Central Luzon,2022,45239,99,3058,3019,3019000,98.8,92.5,6.3,0.7,0,3058,3058000,3046,99.6,99.3,,,
IV-A,CALABARZON,2022,19918,52,4194,4086,4086000,97.4,90.4,7,2.1,0,4194,4194000,4173,99.5,98.7,,,
MIMAROPA,MIMAROPA Region,2022,7697,18,803,731,731000,91,81.4,9.6,2.6,6.4,803,803000,758,94.4,92.1,2.3,5.2,
V,Bicol Region,2022,1766,11,1356,1213,1213000,89.5,80.9,8.5,2.5,8.1,1356,1356000,1284,94.7,90.1,4.6,4.9,
VI,Western Visayas,2022,15335,85,1982,1780,1780000,89.8,82,7.8,3.1,7.1,1982,1982000,1908,96.3,94.7,1.6,3.4,
VII,Central Visayas,2022,17849,103,2012,1858,1858000,92.4,76.3,16.1,2.4,5.2,2012,2012000,1940,96.4,94.7,1.7,3.6,
VIII,Eastern Visayas,2022,5705,14,1159,1088,1088000,93.9,84.1,9.8,2.5,3.7,1159,1159000,1108,95.6,93.6,2,4.3,
IX,Zamboanga Peninsula,2022,10647,39,886,813,813000,91.7,81.4,10.3,4.7,3.6,886,886000,816,92.1,90.2,1.9,7.9,
X,Northern Mindanao,2022,10796,26,1213,1176,1176000,96.9,88.3,8.7,1.5,1.6,1213,1213000,1167,96.2,95.5,,3.8,
XI,Davao Region,2022,9170,39,1431,1397,1397000,97.6,82.2,15.4,1.6,0.8,1431,1431000,1404,98.1,97.3,,1.9,
XII,SOCCSKSARGEN,2022,5910,19,1230,1140,1140000,92.7,73.8,18.9,3.6,3.6,1230,1230000,1193,97,95.9,1.1,2.9,
XIII,Caraga,2022,15559,40,679,654,654000,96.3,89.3,7,1.7,2,679,679000,646,95.1,94,,4.9,
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,2022,5122,10,709,488,488000,68.9,51.6,17.2,21.4,9.7,709,709000,667,94.1,87.8,6.3,5.5,
Total,,,,,,,,,,,,,,,,,,,,
