Cases,Deaths,Date,Region,Year,Town,Num_Month,Month
5,0,10/01/2016,BARMM,2016,Basilan,01,January
7,0,17/01/2016,BARMM,2016,Basilan,01,January
5,0,24/01/2016,BARMM,2016,Basilan,01,January
2,1,31/01/2016,BARMM,2016,Basilan,01,January
5,0,07/02/2016,BARMM,2016,Basilan,02,February
5,0,14/02/2016,BARMM,2016,Basilan,02,February
3,0,21/02/2016,BARMM,2016,Basilan,02,February
8,1,28/02/2016,BARMM,2016,Basilan,02,February
8,1,06/03/2016,BARMM,2016,Basilan,03,March
8,0,13/03/2016,BARMM,2016,Basilan,03,March
6,0,20/03/2016,BARMM,2016,Basilan,03,March
2,0,27/03/2016,BARMM,2016,Basilan,03,March
3,0,03/04/2016,BARMM,2016,Basilan,04,April
3,0,10/04/2016,BARMM,2016,Basilan,04,April
6,1,17/04/2016,BARMM,2016,Basilan,04,April
1,0,24/04/2016,BARMM,2016,Basilan,04,April
7,0,01/05/2016,BARMM,2016,Basilan,05,May
8,0,08/05/2016,BARMM,2016,Basilan,05,May
7,0,15/05/2016,BARMM,2016,Basilan,05,May
3,0,22/05/2016,BARMM,2016,Basilan,05,May
6,0,29/05/2016,BARMM,2016,Basilan,05,May
8,0,05/06/2016,BARMM,2016,Basilan,06,June
8,0,12/06/2016,BARMM,2016,Basilan,06,June
13,1,19/06/2016,BARMM,2016,Basilan,06,June
8,0,26/06/2016,BARMM,2016,Basilan,06,June
13,0,03/07/2016,BARMM,2016,Basilan,07,July
3,0,10/07/2016,BARMM,2016,Basilan,07,July
15,0,17/07/2016,BARMM,2016,Basilan,07,July
11,0,24/07/2016,BARMM,2016,Basilan,07,July
8,0,31/07/2016,BARMM,2016,Basilan,07,July
6,0,07/08/2016,BARMM,2016,Basilan,08,August
7,0,14/08/2016,BARMM,2016,Basilan,08,August
6,0,21/08/2016,BARMM,2016,Basilan,08,August
15,0,28/08/2016,BARMM,2016,Basilan,08,August
11,0,11/09/2016,BARMM,2016,Basilan,09,September
4,0,25/09/2016,BARMM,2016,Basilan,09,September
4,0,09/10/2016,BARMM,2016,Basilan,10,October
1,0,23/10/2016,BARMM,2016,Basilan,10,October
7,1,06/11/2016,BARMM,2016,Basilan,11,November
8,0,20/11/2016,BARMM,2016,Basilan,11,November
8,0,27/11/2016,BARMM,2016,Basilan,11,November
5,0,04/12/2016,BARMM,2016,Basilan,12,December
12,0,11/12/2016,BARMM,2016,Basilan,12,December
4,0,18/12/2016,BARMM,2016,Basilan,12,December
8,0,25/12/2016,BARMM,2016,Basilan,12,December
0,5,04/09/2016,BARMM,2016,Basilan,09,September
0,4,18/09/2016,BARMM,2016,Basilan,09,September
0,4,02/10/2016,BARMM,2016,Basilan,10,October
0,5,16/10/2016,BARMM,2016,Basilan,10,October
0,9,30/10/2016,BARMM,2016,Basilan,10,October
0,0,10/01/2016,BARMM,2016,LanaoDelSur,01,January
1,0,17/01/2016,BARMM,2016,LanaoDelSur,01,January
0,0,24/01/2016,BARMM,2016,LanaoDelSur,01,January
0,0,31/01/2016,BARMM,2016,LanaoDelSur,01,January
3,0,07/02/2016,BARMM,2016,LanaoDelSur,02,February
3,0,14/02/2016,BARMM,2016,LanaoDelSur,02,February
5,0,21/02/2016,BARMM,2016,LanaoDelSur,02,February
1,1,28/02/2016,BARMM,2016,LanaoDelSur,02,February
1,1,06/03/2016,BARMM,2016,LanaoDelSur,03,March
8,1,13/03/2016,BARMM,2016,LanaoDelSur,03,March
5,0,20/03/2016,BARMM,2016,LanaoDelSur,03,March
3,0,27/03/2016,BARMM,2016,LanaoDelSur,03,March
3,0,03/04/2016,BARMM,2016,LanaoDelSur,04,April
6,1,10/04/2016,BARMM,2016,LanaoDelSur,04,April
7,0,17/04/2016,BARMM,2016,LanaoDelSur,04,April
7,1,24/04/2016,BARMM,2016,LanaoDelSur,04,April
10,0,01/05/2016,BARMM,2016,LanaoDelSur,05,May
6,0,08/05/2016,BARMM,2016,LanaoDelSur,05,May
6,1,15/05/2016,BARMM,2016,LanaoDelSur,05,May
1,0,22/05/2016,BARMM,2016,LanaoDelSur,05,May
10,3,29/05/2016,BARMM,2016,LanaoDelSur,05,May
16,1,05/06/2016,BARMM,2016,LanaoDelSur,06,June
12,1,12/06/2016,BARMM,2016,LanaoDelSur,06,June
32,0,19/06/2016,BARMM,2016,LanaoDelSur,06,June
23,0,26/06/2016,BARMM,2016,LanaoDelSur,06,June
38,0,03/07/2016,BARMM,2016,LanaoDelSur,07,July
35,0,10/07/2016,BARMM,2016,LanaoDelSur,07,July
32,0,17/07/2016,BARMM,2016,LanaoDelSur,07,July
34,0,24/07/2016,BARMM,2016,LanaoDelSur,07,July
33,0,31/07/2016,BARMM,2016,LanaoDelSur,07,July
38,0,07/08/2016,BARMM,2016,LanaoDelSur,08,August
30,0,14/08/2016,BARMM,2016,LanaoDelSur,08,August
24,0,21/08/2016,BARMM,2016,LanaoDelSur,08,August
18,0,28/08/2016,BARMM,2016,LanaoDelSur,08,August
26,1,11/09/2016,BARMM,2016,LanaoDelSur,09,September
15,0,25/09/2016,BARMM,2016,LanaoDelSur,09,September
9,0,09/10/2016,BARMM,2016,LanaoDelSur,10,October
14,0,23/10/2016,BARMM,2016,LanaoDelSur,10,October
7,0,06/11/2016,BARMM,2016,LanaoDelSur,11,November
3,0,20/11/2016,BARMM,2016,LanaoDelSur,11,November
7,0,27/11/2016,BARMM,2016,LanaoDelSur,11,November
0,0,04/12/2016,BARMM,2016,LanaoDelSur,12,December
5,0,11/12/2016,BARMM,2016,LanaoDelSur,12,December
1,0,18/12/2016,BARMM,2016,LanaoDelSur,12,December
2,0,25/12/2016,BARMM,2016,LanaoDelSur,12,December
0,17,04/09/2016,BARMM,2016,LanaoDelSur,09,September
0,12,18/09/2016,BARMM,2016,LanaoDelSur,09,September
0,14,02/10/2016,BARMM,2016,LanaoDelSur,10,October
0,9,16/10/2016,BARMM,2016,LanaoDelSur,10,October
0,2,30/10/2016,BARMM,2016,LanaoDelSur,10,October
16,0,10/01/2016,BARMM,2016,Maguindanao,01,January
21,0,17/01/2016,BARMM,2016,Maguindanao,01,January
16,0,24/01/2016,BARMM,2016,Maguindanao,01,January
24,0,31/01/2016,BARMM,2016,Maguindanao,01,January
14,0,07/02/2016,BARMM,2016,Maguindanao,02,February
14,0,14/02/2016,BARMM,2016,Maguindanao,02,February
17,0,21/02/2016,BARMM,2016,Maguindanao,02,February
0,0,28/02/2016,BARMM,2016,Maguindanao,02,February
9,0,06/03/2016,BARMM,2016,Maguindanao,03,March
13,0,13/03/2016,BARMM,2016,Maguindanao,03,March
12,0,20/03/2016,BARMM,2016,Maguindanao,03,March
18,0,27/03/2016,BARMM,2016,Maguindanao,03,March
9,0,03/04/2016,BARMM,2016,Maguindanao,04,April
17,0,10/04/2016,BARMM,2016,Maguindanao,04,April
10,0,17/04/2016,BARMM,2016,Maguindanao,04,April
22,0,24/04/2016,BARMM,2016,Maguindanao,04,April
12,0,01/05/2016,BARMM,2016,Maguindanao,05,May
13,0,08/05/2016,BARMM,2016,Maguindanao,05,May
22,0,15/05/2016,BARMM,2016,Maguindanao,05,May
23,0,22/05/2016,BARMM,2016,Maguindanao,05,May
19,0,29/05/2016,BARMM,2016,Maguindanao,05,May
23,2,05/06/2016,BARMM,2016,Maguindanao,06,June
36,0,12/06/2016,BARMM,2016,Maguindanao,06,June
34,0,19/06/2016,BARMM,2016,Maguindanao,06,June
32,1,26/06/2016,BARMM,2016,Maguindanao,06,June
50,0,03/07/2016,BARMM,2016,Maguindanao,07,July
40,0,10/07/2016,BARMM,2016,Maguindanao,07,July
76,1,17/07/2016,BARMM,2016,Maguindanao,07,July
33,0,24/07/2016,BARMM,2016,Maguindanao,07,July
44,0,31/07/2016,BARMM,2016,Maguindanao,07,July
63,0,07/08/2016,BARMM,2016,Maguindanao,08,August
39,1,14/08/2016,BARMM,2016,Maguindanao,08,August
34,0,21/08/2016,BARMM,2016,Maguindanao,08,August
30,0,28/08/2016,BARMM,2016,Maguindanao,08,August
30,0,11/09/2016,BARMM,2016,Maguindanao,09,September
23,2,25/09/2016,BARMM,2016,Maguindanao,09,September
27,0,09/10/2016,BARMM,2016,Maguindanao,10,October
14,0,23/10/2016,BARMM,2016,Maguindanao,10,October
20,0,06/11/2016,BARMM,2016,Maguindanao,11,November
24,0,20/11/2016,BARMM,2016,Maguindanao,11,November
49,0,27/11/2016,BARMM,2016,Maguindanao,11,November
27,0,04/12/2016,BARMM,2016,Maguindanao,12,December
